"","subject","IP_LABEL","IA_LABEL","trial","condition","condition_trial","motion","stimulus","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"111","subj.10","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",2,0,2971,3030,"Flat Coated Retriever","f","no",62
"112","subj.10","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",2,0,2968,3030,"Flat Coated Retriever","f","no",62
"113","subj.10","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",2,0,3003,3003,"Flat Coated Retriever","f","no",62
"114","subj.10","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",3,262,2608,3003,"Flat Coated Retriever","f","no",62
"115","subj.10","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",3,0,3002,3002,"Flat Coated Retriever","f","no",62
"116","subj.10","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",3,0,2952,3001,"Flat Coated Retriever","f","no",62
"117","subj.10","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",4,0,2958,3029,"Flat Coated Retriever","f","no",62
"118","subj.10","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",4,0,3004,3031,"Flat Coated Retriever","f","no",62
"119","subj.10","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",4,0,3030,3030,"Flat Coated Retriever","f","no",62
"120","subj.11","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",1,0,2938,3030,"Mix","f","yes",41
"121","subj.11","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",1,0,1348,1348,"Mix","f","yes",41
"122","subj.11","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",1,0,3003,3003,"Mix","f","yes",41
"123","subj.11","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",2,0,3002,3002,"Mix","f","yes",41
"124","subj.11","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",2,0,3002,3002,"Mix","f","yes",41
"125","subj.11","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",2,0,2905,3004,"Mix","f","yes",41
"126","subj.11","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",3,2586,2817,2999,"Mix","f","yes",41
"127","subj.11","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",3,0,2810,3001,"Mix","f","yes",41
"128","subj.11","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",3,2743,2961,2999,"Mix","f","yes",41
"129","subj.11","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",4,0,3000,3000,"Mix","f","yes",41
"130","subj.11","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",4,0,2899,3026,"Mix","f","yes",41
