"","subject","IP_LABEL","IA_LABEL","trial","condition","object","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"130","subj.10","end_ball_IP","ball_down",10,"reversed","ball",1,0,1036,1036,"Mix","m","yes",18
"131","subj.10","end_ball_IP","ball_up",11,"reversed","ball",1,0,1019,1036,"Mix","m","yes",18
"132","subj.10","end_ball_IP","ball_down",11,"reversed","ball",1,0,1019,1036,"Mix","m","yes",18
"133","subj.10","end_ball_IP","ball_up",12,"reversed","ball",1,631,1021,1036,"Mix","m","yes",18
"134","subj.10","end_ball_IP","ball_down",12,"reversed","ball",1,0,1021,1036,"Mix","m","yes",18
"135","subj.10","end_ball_IP","ball_up",9,"normal","ball",2,0,1009,1009,"Mix","m","yes",18
"136","subj.10","end_ball_IP","ball_down",9,"normal","ball",2,0,1009,1009,"Mix","m","yes",18
"137","subj.10","end_ball_IP","ball_up",10,"normal","ball",2,0,1035,1035,"Mix","m","yes",18
"138","subj.10","end_ball_IP","ball_down",10,"normal","ball",2,1035,1035,1035,"Mix","m","yes",18
"139","subj.10","end_ball_IP","ball_up",11,"normal","ball",2,0,912,1036,"Mix","m","yes",18
"140","subj.10","end_ball_IP","ball_down",11,"normal","ball",2,0,912,1036,"Mix","m","yes",18
"141","subj.10","end_ball_IP","ball_up",12,"normal","ball",2,0,1036,1036,"Mix","m","yes",18
"142","subj.10","end_ball_IP","ball_down",12,"normal","ball",2,1036,1036,1036,"Mix","m","yes",18
"143","subj.11","end_ball_IP","ball_up",9,"reversed","ball",1,1010,1010,1010,"Australian Shepherd","f","no",80
"144","subj.11","end_ball_IP","ball_down",9,"reversed","ball",1,0,1010,1010,"Australian Shepherd","f","no",80
"145","subj.11","end_ball_IP","ball_up",10,"reversed","ball",1,1038,1038,1038,"Australian Shepherd","f","no",80
"146","subj.11","end_ball_IP","ball_down",10,"reversed","ball",1,0,1038,1038,"Australian Shepherd","f","no",80
"147","subj.11","end_ball_IP","ball_up",11,"reversed","ball",1,0,1037,1037,"Australian Shepherd","f","no",80
"148","subj.11","end_ball_IP","ball_down",11,"reversed","ball",1,0,1037,1037,"Australian Shepherd","f","no",80
"149","subj.11","end_ball_IP","ball_up",12,"reversed","ball",1,1037,1037,1037,"Australian Shepherd","f","no",80
"150","subj.11","end_ball_IP","ball_down",12,"reversed","ball",1,0,1037,1037,"Australian Shepherd","f","no",80
"151","subj.11","end_ball_IP","ball_up",9,"normal","ball",2,0,867,1036,"Australian Shepherd","f","no",80
"152","subj.11","end_ball_IP","ball_down",9,"normal","ball",2,0,867,1036,"Australian Shepherd","f","no",80
"153","subj.11","end_ball_IP","ball_up",10,"normal","ball",2,242,874,1036,"Australian Shepherd","f","no",80
"154","subj.11","end_ball_IP","ball_down",10,"normal","ball",2,0,874,1036,"Australian Shepherd","f","no",80
"155","subj.11","end_ball_IP","ball_up",11,"normal","ball",2,0,1010,1035,"Australian Shepherd","f","no",80
"156","subj.11","end_ball_IP","ball_down",11,"normal","ball",2,0,1010,1035,"Australian Shepherd","f","no",80
"157","subj.11","end_ball_IP","ball_up",12,"normal","ball",2,0,1007,1007,"Australian Shepherd","f","no",80
"158","subj.11","end_ball_IP","ball_down",12,"normal","ball",2,0,1007,1007,"Australian Shepherd","f","no",80
"159","subj.01","end_ball_IP","ball_up",9,"normal","ball",2,465,885,1010,"Border Collie","m","no",56
"160","subj.01","end_ball_IP","ball_down",9,"normal","ball",2,22,885,1010,"Border Collie","m","no",56
"161","subj.01","end_ball_IP","ball_up",10,"normal","ball",2,0,864,1008,"Border Collie","m","no",56
"162","subj.01","end_ball_IP","ball_down",10,"normal","ball",2,153,864,1008,"Border Collie","m","no",56
"163","subj.01","end_ball_IP","ball_up",11,"normal","ball",2,0,977,1037,"Border Collie","m","no",56
"164","subj.01","end_ball_IP","ball_down",11,"normal","ball",2,977,977,1037,"Border Collie","m","no",56
"165","subj.01","end_ball_IP","ball_up",12,"normal","ball",2,0,920,1036,"Border Collie","m","no",56
"166","subj.01","end_ball_IP","ball_down",12,"normal","ball",2,0,920,1036,"Border Collie","m","no",56
"167","subj.12","end_ball_IP","ball_up",9,"normal","ball",1,0,1036,1036,"Collie","m","no",18
"168","subj.12","end_ball_IP","ball_down",9,"normal","ball",1,0,1036,1036,"Collie","m","no",18
"169","subj.12","end_ball_IP","ball_up",10,"normal","ball",1,0,1007,1007,"Collie","m","no",18
"170","subj.12","end_ball_IP","ball_down",10,"normal","ball",1,0,1007,1007,"Collie","m","no",18
"171","subj.12","end_ball_IP","ball_up",11,"normal","ball",1,0,1008,1008,"Collie","m","no",18
"172","subj.12","end_ball_IP","ball_down",11,"normal","ball",1,0,1008,1008,"Collie","m","no",18
"173","subj.12","end_ball_IP","ball_up",12,"normal","ball",1,0,1036,1036,"Collie","m","no",18
"174","subj.12","end_ball_IP","ball_down",12,"normal","ball",1,0,1036,1036,"Collie","m","no",18
"175","subj.12","end_ball_IP","ball_up",9,"reversed","ball",2,1035,1035,1035,"Collie","m","no",18
"176","subj.12","end_ball_IP","ball_down",9,"reversed","ball",2,0,1035,1035,"Collie","m","no",18
"177","subj.12","end_ball_IP","ball_up",10,"reversed","ball",2,1036,1036,1036,"Collie","m","no",18
"178","subj.12","end_ball_IP","ball_down",10,"reversed","ball",2,0,1036,1036,"Collie","m","no",18
"179","subj.12","end_ball_IP","ball_up",11,"reversed","ball",2,1036,1036,1036,"Collie","m","no",18
"180","subj.12","end_ball_IP","ball_down",11,"reversed","ball",2,0,1036,1036,"Collie","m","no",18
"181","subj.12","end_ball_IP","ball_up",12,"reversed","ball",2,1036,1036,1036,"Collie","m","no",18
"182","subj.12","end_ball_IP","ball_down",12,"reversed","ball",2,0,1036,1036,"Collie","m","no",18
"183","subj.02","end_ball_IP","ball_up",9,"reversed","ball",2,0,1037,1037,"Labrador Retriever","f","yes",34
"184","subj.02","end_ball_IP","ball_down",9,"reversed","ball",2,0,1037,1037,"Labrador Retriever","f","yes",34
"185","subj.02","end_ball_IP","ball_up",10,"reversed","ball",2,1037,1037,1037,"Labrador Retriever","f","yes",34
"186","subj.02","end_ball_IP","ball_down",10,"reversed","ball",2,0,1037,1037,"Labrador Retriever","f","yes",34
"187","subj.02","end_ball_IP","ball_up",11,"reversed","ball",2,1037,1037,1037,"Labrador Retriever","f","yes",34
"188","subj.02","end_ball_IP","ball_down",11,"reversed","ball",2,0,1037,1037,"Labrador Retriever","f","yes",34
"189","subj.02","end_ball_IP","ball_up",12,"reversed","ball",2,0,1037,1037,"Labrador Retriever","f","yes",34
"190","subj.02","end_ball_IP","ball_down",12,"reversed","ball",2,0,1037,1037,"Labrador Retriever","f","yes",34
"191","subj.13","end_ball_IP","ball_up",9,"normal","ball",1,0,1036,1036,"Border Collie","f","no",16
"192","subj.13","end_ball_IP","ball_down",9,"normal","ball",1,1036,1036,1036,"Border Collie","f","no",16
"193","subj.13","end_ball_IP","ball_up",10,"normal","ball",1,0,1035,1035,"Border Collie","f","no",16
"194","subj.13","end_ball_IP","ball_down",10,"normal","ball",1,1035,1035,1035,"Border Collie","f","no",16
