"","subject","IP_LABEL","IA_LABEL","trial","condition","object","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"73","subj.04","video_IP","cube_human",3,"normal","cube",1,141,4617,5020,"Mix","f","yes",37
"74","subj.04","video_IP","cube_up",3,"normal","cube",1,217,4617,5020,"Mix","f","yes",37
"75","subj.04","video_IP","cube_low",3,"normal","cube",1,2728,4617,5020,"Mix","f","yes",37
"76","subj.04","video_IP","head_IA",3,"normal","cube",1,141,4617,5020,"Mix","f","yes",37
"77","subj.04","video_IP","cube_human",4,"normal","cube",1,0,4787,5020,"Mix","f","yes",37
"78","subj.04","video_IP","cube_up",4,"normal","cube",1,0,4787,5020,"Mix","f","yes",37
"79","subj.04","video_IP","cube_low",4,"normal","cube",1,0,4787,5020,"Mix","f","yes",37
"80","subj.04","video_IP","head_IA",4,"normal","cube",1,0,4787,5020,"Mix","f","yes",37
"81","subj.04","video_IP","cube_human",1,"reversed","cube",2,300,4676,5019,"Mix","f","yes",37
"82","subj.04","video_IP","cube_up",1,"reversed","cube",2,1056,4676,5019,"Mix","f","yes",37
"83","subj.04","video_IP","cube_low",1,"reversed","cube",2,1536,4676,5019,"Mix","f","yes",37
"84","subj.04","video_IP","head_IA",1,"reversed","cube",2,0,4676,5019,"Mix","f","yes",37
"85","subj.04","video_IP","cube_human",2,"reversed","cube",2,876,4739,5019,"Mix","f","yes",37
"86","subj.04","video_IP","cube_up",2,"reversed","cube",2,83,4739,5019,"Mix","f","yes",37
"87","subj.04","video_IP","cube_low",2,"reversed","cube",2,2137,4739,5019,"Mix","f","yes",37
"88","subj.04","video_IP","head_IA",2,"reversed","cube",2,876,4739,5019,"Mix","f","yes",37
"89","subj.04","video_IP","cube_human",3,"reversed","cube",2,0,4874,5020,"Mix","f","yes",37
"90","subj.04","video_IP","cube_up",3,"reversed","cube",2,0,4874,5020,"Mix","f","yes",37
"91","subj.04","video_IP","cube_low",3,"reversed","cube",2,2496,4874,5020,"Mix","f","yes",37
"92","subj.04","video_IP","head_IA",3,"reversed","cube",2,0,4874,5020,"Mix","f","yes",37
"93","subj.04","video_IP","cube_human",4,"reversed","cube",2,763,4784,5020,"Mix","f","yes",37
"94","subj.04","video_IP","cube_up",4,"reversed","cube",2,0,4784,5020,"Mix","f","yes",37
"95","subj.04","video_IP","cube_low",4,"reversed","cube",2,2015,4784,5020,"Mix","f","yes",37
"96","subj.04","video_IP","head_IA",4,"reversed","cube",2,0,4784,5020,"Mix","f","yes",37
"97","subj.05","video_IP","cube_human",1,"reversed","cube",1,3988,4591,5023,"Labrador Retriever","f","yes",26
"98","subj.05","video_IP","cube_up",1,"reversed","cube",1,0,4591,5023,"Labrador Retriever","f","yes",26
"99","subj.05","video_IP","cube_low",1,"reversed","cube",1,0,4591,5023,"Labrador Retriever","f","yes",26
"100","subj.05","video_IP","head_IA",1,"reversed","cube",1,3672,4591,5023,"Labrador Retriever","f","yes",26
"101","subj.05","video_IP","cube_human",2,"reversed","cube",1,3824,4850,5023,"Labrador Retriever","f","yes",26
"102","subj.05","video_IP","cube_up",2,"reversed","cube",1,681,4850,5023,"Labrador Retriever","f","yes",26
"103","subj.05","video_IP","cube_low",2,"reversed","cube",1,0,4850,5023,"Labrador Retriever","f","yes",26
"104","subj.05","video_IP","head_IA",2,"reversed","cube",1,3764,4850,5023,"Labrador Retriever","f","yes",26
"105","subj.05","video_IP","cube_human",3,"reversed","cube",1,3538,4898,5018,"Labrador Retriever","f","yes",26
"106","subj.05","video_IP","cube_up",3,"reversed","cube",1,1086,4898,5018,"Labrador Retriever","f","yes",26
"107","subj.05","video_IP","cube_low",3,"reversed","cube",1,0,4898,5018,"Labrador Retriever","f","yes",26
"108","subj.05","video_IP","head_IA",3,"reversed","cube",1,3426,4898,5018,"Labrador Retriever","f","yes",26
"109","subj.05","video_IP","cube_human",4,"reversed","cube",1,3418,4875,5019,"Labrador Retriever","f","yes",26
"110","subj.05","video_IP","cube_up",4,"reversed","cube",1,1108,4875,5019,"Labrador Retriever","f","yes",26
"111","subj.05","video_IP","cube_low",4,"reversed","cube",1,0,4875,5019,"Labrador Retriever","f","yes",26
"112","subj.05","video_IP","head_IA",4,"reversed","cube",1,3309,4875,5019,"Labrador Retriever","f","yes",26
"113","subj.05","video_IP","cube_human",1,"normal","cube",2,373,4636,5017,"Labrador Retriever","f","yes",26
"114","subj.05","video_IP","cube_up",1,"normal","cube",2,0,4636,5017,"Labrador Retriever","f","yes",26
"115","subj.05","video_IP","cube_low",1,"normal","cube",2,273,4636,5017,"Labrador Retriever","f","yes",26
"116","subj.05","video_IP","head_IA",1,"normal","cube",2,254,4636,5017,"Labrador Retriever","f","yes",26
"117","subj.05","video_IP","cube_human",2,"normal","cube",2,319,4609,5020,"Labrador Retriever","f","yes",26
"118","subj.05","video_IP","cube_up",2,"normal","cube",2,0,4609,5020,"Labrador Retriever","f","yes",26
"119","subj.05","video_IP","cube_low",2,"normal","cube",2,3290,4609,5020,"Labrador Retriever","f","yes",26
"120","subj.05","video_IP","head_IA",2,"normal","cube",2,319,4609,5020,"Labrador Retriever","f","yes",26
"121","subj.05","video_IP","cube_human",3,"normal","cube",2,73,4599,5020,"Labrador Retriever","f","yes",26
"122","subj.05","video_IP","cube_up",3,"normal","cube",2,0,4599,5020,"Labrador Retriever","f","yes",26
