"","subject","trial","condition","motion","stimulus","session","AVERAGE_FIXATION_DURATION","AVERAGE_SACCADE_AMPLITUDE","FIXATION_COUNT","PUPIL_SIZE_MAX","SACCADE_COUNT","Breed","sex","neutered","age","stimuli_first","motion_first"
"113","subj.10",2,"F-C","C","F",2,2149.38,7.58,8,7196,7,"Flat Coated Retriever","f","no",62,"fur","variable"
"114","subj.10",3,"F-C","C","F",2,1102.33,6.25,15,6990,14,"Flat Coated Retriever","f","no",62,"fur","variable"
"115","subj.10",1,"B-V","V","B",3,1196.79,4.57,14,5845,13,"Flat Coated Retriever","f","no",62,"fur","variable"
"116","subj.10",2,"B-V","V","B",3,1011.88,4.3,17,6364,16,"Flat Coated Retriever","f","no",62,"fur","variable"
"117","subj.10",3,"B-V","V","B",3,1170.73,4.12,15,6203,14,"Flat Coated Retriever","f","no",62,"fur","variable"
"118","subj.10",1,"B-C","C","B",4,1017.88,4.94,17,6804,16,"Flat Coated Retriever","f","no",62,"fur","variable"
"119","subj.10",2,"B-C","C","B",4,931.58,3.99,19,6366,18,"Flat Coated Retriever","f","no",62,"fur","variable"
"120","subj.10",3,"B-C","C","B",4,1622.64,4.59,11,6473,10,"Flat Coated Retriever","f","no",62,"fur","variable"
"121","subj.11",1,"B-C","C","B",1,1204,7.86,15,5459,15,"Mix","f","yes",41,"ball","constant"
"122","subj.11",2,"B-C","C","B",1,1505.91,6.11,11,5315,10,"Mix","f","yes",41,"ball","constant"
"123","subj.11",3,"B-C","C","B",1,1506,9.04,12,6330,11,"Mix","f","yes",41,"ball","constant"
"124","subj.11",1,"B-V","V","B",2,1074.59,4.91,17,4585,16,"Mix","f","yes",41,"ball","constant"
"125","subj.11",2,"B-V","V","B",2,1224.27,4.14,15,4967,14,"Mix","f","yes",41,"ball","constant"
"126","subj.11",3,"B-V","V","B",2,1479.33,9.56,12,5999,11,"Mix","f","yes",41,"ball","constant"
"127","subj.11",1,"F-V","V","F",3,611.55,4.55,29,4424,28,"Mix","f","yes",41,"ball","constant"
"128","subj.11",2,"F-V","V","F",3,1040.88,7.31,17,3952,16,"Mix","f","yes",41,"ball","constant"
"129","subj.11",3,"F-V","V","F",3,2038,9.18,9,5053,8,"Mix","f","yes",41,"ball","constant"
"130","subj.11",1,"F-C","C","F",4,739.7,8.95,23,3863,22,"Mix","f","yes",41,"ball","constant"
"131","subj.11",2,"F-C","C","F",4,2031.11,9.07,9,4315,8,"Mix","f","yes",41,"ball","constant"
